purchase_date,ingredient,quantity,unit,cost_per_unit,total_cost,expiration_date,shelf_life_days,days_until_expiration,alert_level
2023-02-26,Oreo,7.2,pack,150.66,1090.4,2023-08-25,180,-1106.0,Expired
2023-02-26,Potatoes,4.3,kg,93.79,402.48,2023-03-12,14,-1272.0,Expired
2023-02-26,Noodles,4.8,pack,44.95,214.14,2024-02-26,365,-921.0,Expired
2023-03-05,Coffee Beans,5.3,kg,842.34,4477.72,2023-05-04,60,-1219.0,Expired
2023-03-05,Chicken,3.2,kg,310.93,991.61,2023-03-10,5,-1274.0,Expired
2023-03-05,Cheese,8.6,kg,480.61,4145.23,2023-03-26,21,-1258.0,Expired
2023-03-05,Chocolate Syrup,5.6,bottle,224.46,1255.21,2023-06-03,90,-1189.0,Expired
2023-03-05,Caramel Syrup,4.3,bottle,215.75,925.99,2023-06-03,90,-1189.0,Expired
2023-03-05,Matcha Powder,5.8,kg,963.13,5552.22,2023-09-01,180,-1099.0,Expired
2023-03-05,Strawberry,7.3,kg,274.42,2012.73,2023-03-10,5,-1274.0,Expired
2023-03-05,Potatoes,2.8,kg,98.1,275.09,2023-03-19,14,-1265.0,Expired
2023-03-05,Noodles,11.2,pack,44.06,492.6,2024-03-04,365,-914.0,Expired
2023-03-12,Milk,9.8,liter,91.4,900.2,2023-03-19,7,-1265.0,Expired
2023-03-12,Fresh Cream,6.0,liter,178.94,1074.86,2023-03-22,10,-1262.0,Expired
2023-03-12,Chicken,10.8,kg,293.71,3166.76,2023-03-17,5,-1267.0,Expired
2023-03-12,Cheese,4.2,kg,487.89,2062.2,2023-04-02,21,-1251.0,Expired
2023-03-12,Caramel Syrup,11.1,bottle,218.41,2418.51,2023-06-10,90,-1182.0,Expired
2023-03-12,Matcha Powder,9.2,kg,972.53,8994.63,2023-09-08,180,-1092.0,Expired
2023-03-12,Strawberry,5.3,kg,290.35,1531.95,2023-03-17,5,-1267.0,Expired
2023-03-12,Oreo,5.4,pack,149.14,808.54,2023-09-08,180,-1092.0,Expired
2023-03-12,Potatoes,3.1,kg,97.6,302.13,2023-03-26,14,-1258.0,Expired
2023-03-12,Noodles,9.7,pack,44.44,429.43,2024-03-11,365,-907.0,Expired
2023-03-19,Milk,8.0,liter,90.8,723.34,2023-03-26,7,-1258.0,Expired
2023-03-19,Bread,6.0,pack,57.16,345.34,2023-03-23,4,-1261.0,Expired
2023-03-19,Strawberry,4.1,kg,288.47,1195.51,2023-03-24,5,-1260.0,Expired
2023-03-19,Oreo,8.6,pack,152.96,1315.99,2023-09-15,180,-1085.0,Expired
2023-03-19,Potatoes,9.8,kg,93.38,918.44,2023-04-02,14,-1251.0,Expired
2023-03-19,Noodles,7.4,pack,44.89,330.98,2024-03-18,365,-900.0,Expired
2023-03-26,Coffee Beans,4.3,kg,861.22,3666.65,2023-05-25,60,-1198.0,Expired
2023-03-26,Milk,4.7,liter,91.78,431.26,2023-04-02,7,-1251.0,Expired
2023-03-26,Fresh Cream,6.7,liter,182.51,1221.84,2023-04-05,10,-1248.0,Expired
2023-03-26,Cheese,4.4,kg,491.88,2176.72,2023-04-16,21,-1237.0,Expired
2023-03-26,Bread,3.3,pack,55.6,183.17,2023-03-30,4,-1254.0,Expired
2023-03-26,Matcha Powder,3.7,kg,972.94,3581.78,2023-09-22,180,-1078.0,Expired
2023-03-26,Strawberry,5.6,kg,288.93,1629.6,2023-03-31,5,-1253.0,Expired
2023-03-26,Oreo,6.1,pack,155.56,956.4,2023-09-22,180,-1078.0,Expired
2023-03-26,Potatoes,5.1,kg,93.7,475.74,2023-04-09,14,-1244.0,Expired
2023-03-26,Noodles,6.3,pack,46.84,295.54,2024-03-25,365,-893.0,Expired
2023-04-02,Coffee Beans,4.9,kg,871.03,4263.93,2023-06-01,60,-1191.0,Expired
2023-04-02,Fresh Cream,12.3,liter,184.87,2274.28,2023-04-12,10,-1241.0,Expired
2023-04-02,Chicken,5.9,kg,298.76,1774.78,2023-04-07,5,-1246.0,Expired
2023-04-02,Bread,8.8,pack,56.22,493.15,2023-04-06,4,-1247.0,Expired
2023-04-02,Chocolate Syrup,7.1,bottle,219.24,1547.45,2023-07-01,90,-1161.0,Expired
2023-04-02,Caramel Syrup,8.4,bottle,226.41,1907.63,2023-07-01,90,-1161.0,Expired
2023-04-02,Potatoes,10.0,kg,95.58,951.53,2023-04-16,14,-1237.0,Expired
2023-04-09,Fresh Cream,5.9,liter,181.23,1065.78,2023-04-19,10,-1234.0,Expired
2023-04-09,Chicken,12.0,kg,297.44,3555.15,2023-04-14,5,-1239.0,Expired
2023-04-09,Bread,6.6,pack,56.45,370.81,2023-04-13,4,-1240.0,Expired
2023-04-09,Chocolate Syrup,6.3,bottle,229.98,1459.65,2023-07-08,90,-1154.0,Expired
2023-04-09,Caramel Syrup,6.8,bottle,228.8,1553.45,2023-07-08,90,-1154.0,Expired
2023-04-09,Strawberry,11.5,kg,292.64,3364.17,2023-04-14,5,-1239.0,Expired
2023-04-09,Oreo,10.0,pack,148.95,1490.2,2023-10-06,180,-1064.0,Expired
2023-04-16,Fresh Cream,8.3,liter,178.96,1486.87,2023-04-26,10,-1227.0,Expired
2023-04-16,Chicken,10.7,kg,300.92,3205.52,2023-04-21,5,-1232.0,Expired
2023-04-16,Bread,11.6,pack,55.02,636.17,2023-04-20,4,-1233.0,Expired
2023-04-16,Caramel Syrup,11.1,bottle,228.08,2530.53,2023-07-15,90,-1147.0,Expired
2023-04-16,Matcha Powder,3.3,kg,991.5,3320.72,2023-10-13,180,-1057.0,Expired
2023-04-16,Strawberry,6.0,kg,279.14,1677.41,2023-04-21,5,-1232.0,Expired
2023-04-16,Potatoes,9.9,kg,94.71,940.77,2023-04-30,14,-1223.0,Expired
2023-04-16,Noodles,3.6,pack,47.2,171.63,2024-04-15,365,-872.0,Expired
2023-04-23,Coffee Beans,9.3,kg,868.67,8045.02,2023-06-22,60,-1170.0,Expired
2023-04-23,Chicken,8.5,kg,303.78,2596.88,2023-04-28,5,-1225.0,Expired
2023-04-23,Cheese,9.1,kg,498.31,4536.95,2023-05-14,21,-1209.0,Expired
2023-04-23,Bread,5.5,pack,56.41,312.71,2023-04-27,4,-1226.0,Expired
2023-04-23,Caramel Syrup,4.6,bottle,229.19,1060.98,2023-07-22,90,-1140.0,Expired
2023-04-23,Strawberry,10.9,kg,293.94,3193.26,2023-04-28,5,-1225.0,Expired
2023-04-23,Oreo,7.3,pack,150.76,1102.54,2023-10-20,180,-1050.0,Expired
2023-04-30,Fresh Cream,12.0,liter,183.33,2200.49,2023-05-10,10,-1213.0,Expired
2023-04-30,Chicken,7.9,kg,307.87,2441.16,2023-05-05,5,-1218.0,Expired
2023-04-30,Cheese,6.5,kg,494.4,3198.08,2023-05-21,21,-1202.0,Expired
2023-04-30,Bread,4.7,pack,55.14,259.74,2023-05-04,4,-1219.0,Expired
2023-04-30,Caramel Syrup,8.6,bottle,222.84,1923.56,2023-07-29,90,-1133.0,Expired
2023-04-30,Matcha Powder,10.1,kg,994.36,10052.8,2023-10-27,180,-1043.0,Expired
2023-04-30,Strawberry,8.8,kg,278.41,2451.19,2023-05-05,5,-1218.0,Expired
2023-04-30,Oreo,5.7,pack,150.99,863.91,2023-10-27,180,-1043.0,Expired
2023-04-30,Potatoes,12.7,kg,96.68,1225.63,2023-05-14,14,-1209.0,Expired
2023-04-30,Noodles,5.5,pack,45.27,248.19,2024-04-29,365,-858.0,Expired
2023-05-07,Coffee Beans,7.1,kg,854.09,6069.29,2023-07-06,60,-1156.0,Expired
2023-05-07,Milk,7.2,liter,92.45,670.26,2023-05-14,7,-1209.0,Expired
2023-05-07,Fresh Cream,8.0,liter,180.8,1439.81,2023-05-17,10,-1206.0,Expired
2023-05-07,Chicken,7.4,kg,307.96,2287.51,2023-05-12,5,-1211.0,Expired
2023-05-07,Cheese,12.3,kg,484.19,5972.5,2023-05-28,21,-1195.0,Expired
2023-05-07,Bread,7.0,pack,56.42,397.55,2023-05-11,4,-1212.0,Expired
2023-05-07,Chocolate Syrup,10.6,bottle,224.94,2373.23,2023-08-05,90,-1126.0,Expired
2023-05-07,Caramel Syrup,10.1,bottle,221.11,2224.61,2023-08-05,90,-1126.0,Expired
2023-05-07,Strawberry,8.7,kg,290.15,2525.34,2023-05-12,5,-1211.0,Expired
2023-05-07,Oreo,4.4,pack,152.12,663.26,2023-11-03,180,-1036.0,Expired
2023-05-07,Potatoes,11.2,kg,99.09,1107.5,2023-05-21,14,-1202.0,Expired
2023-05-07,Noodles,10.6,pack,45.56,484.04,2024-05-06,365,-851.0,Expired
2023-05-14,Milk,9.8,liter,92.62,909.46,2023-05-21,7,-1202.0,Expired
2023-05-14,Fresh Cream,8.3,liter,187.6,1551.98,2023-05-24,10,-1199.0,Expired
2023-05-14,Chicken,6.6,kg,315.49,2075.95,2023-05-19,5,-1204.0,Expired
2023-05-14,Bread,10.2,pack,57.25,581.48,2023-05-18,4,-1205.0,Expired
2023-05-14,Chocolate Syrup,6.0,bottle,227.31,1369.22,2023-08-12,90,-1119.0,Expired
2023-05-14,Caramel Syrup,10.5,bottle,226.07,2367.01,2023-08-12,90,-1119.0,Expired
2023-05-14,Matcha Powder,12.0,kg,954.48,11480.52,2023-11-10,180,-1029.0,Expired
2023-05-14,Strawberry,7.8,kg,288.62,2255.0,2023-05-19,5,-1204.0,Expired
2023-05-14,Potatoes,10.4,kg,96.74,1005.72,2023-05-28,14,-1195.0,Expired
2023-05-14,Noodles,3.3,pack,47.64,156.19,2024-05-13,365,-844.0,Expired
2023-05-21,Coffee Beans,6.5,kg,888.65,5736.9,2023-07-20,60,-1142.0,Expired
2023-05-21,Milk,5.7,liter,95.15,538.68,2023-05-28,7,-1195.0,Expired
2023-05-21,Fresh Cream,7.1,liter,190.97,1361.87,2023-05-31,10,-1192.0,Expired
2023-05-21,Chicken,12.1,kg,305.61,3702.52,2023-05-26,5,-1197.0,Expired
2023-05-21,Bread,5.6,pack,56.8,315.81,2023-05-25,4,-1198.0,Expired
2023-05-21,Chocolate Syrup,5.7,bottle,231.55,1314.69,2023-08-19,90,-1112.0,Expired
2023-05-21,Caramel Syrup,9.3,bottle,227.86,2129.29,2023-08-19,90,-1112.0,Expired
2023-05-21,Oreo,8.8,pack,154.65,1364.83,2023-11-17,180,-1022.0,Expired
2023-05-21,Noodles,4.8,pack,47.49,228.19,2024-05-20,365,-837.0,Expired
2023-05-28,Coffee Beans,8.3,kg,876.43,7289.75,2023-07-27,60,-1135.0,Expired
2023-05-28,Chicken,9.7,kg,317.81,3085.53,2023-06-02,5,-1190.0,Expired
2023-05-28,Cheese,10.4,kg,494.0,5158.38,2023-06-18,21,-1174.0,Expired
2023-05-28,Bread,5.4,pack,58.49,316.6,2023-06-01,4,-1191.0,Expired
2023-05-28,Chocolate Syrup,6.9,bottle,228.96,1570.24,2023-08-26,90,-1105.0,Expired
2023-05-28,Strawberry,6.5,kg,292.99,1895.28,2023-06-02,5,-1190.0,Expired
2023-05-28,Potatoes,7.2,kg,99.73,722.54,2023-06-11,14,-1181.0,Expired
2023-05-28,Noodles,11.7,pack,47.12,550.2,2024-05-27,365,-830.0,Expired
2023-06-04,Coffee Beans,12.9,kg,861.94,11137.52,2023-08-03,60,-1128.0,Expired
2023-06-04,Milk,8.5,liter,91.69,774.91,2023-06-11,7,-1181.0,Expired
2023-06-04,Fresh Cream,5.5,liter,185.28,1025.64,2023-06-14,10,-1178.0,Expired
2023-06-04,Cheese,10.8,kg,483.8,5246.12,2023-06-25,21,-1167.0,Expired
2023-06-04,Bread,7.0,pack,58.38,411.28,2023-06-08,4,-1184.0,Expired
2023-06-04,Chocolate Syrup,7.6,bottle,230.9,1765.09,2023-09-02,90,-1098.0,Expired
2023-06-04,Caramel Syrup,10.4,bottle,231.91,2422.07,2023-09-02,90,-1098.0,Expired
2023-06-04,Oreo,4.6,pack,153.08,700.48,2023-12-01,180,-1008.0,Expired
2023-06-04,Potatoes,8.3,kg,96.23,800.88,2023-06-18,14,-1174.0,Expired
2023-06-04,Noodles,7.2,pack,47.69,342.05,2024-06-03,365,-823.0,Expired
2023-06-11,Coffee Beans,4.6,kg,878.98,4062.66,2023-08-10,60,-1121.0,Expired
2023-06-11,Milk,12.6,liter,95.58,1204.04,2023-06-18,7,-1174.0,Expired
2023-06-11,Fresh Cream,10.1,liter,185.04,1860.51,2023-06-21,10,-1171.0,Expired
2023-06-11,Chicken,5.2,kg,310.2,1625.96,2023-06-16,5,-1176.0,Expired
2023-06-11,Cheese,12.1,kg,503.2,6072.06,2023-07-02,21,-1160.0,Expired
2023-06-11,Bread,6.6,pack,57.16,375.25,2023-06-15,4,-1177.0,Expired
2023-06-11,Chocolate Syrup,8.0,bottle,233.95,1873.91,2023-09-09,90,-1091.0,Expired
2023-06-11,Strawberry,7.6,kg,290.17,2194.98,2023-06-16,5,-1176.0,Expired
2023-06-11,Potatoes,10.3,kg,96.46,996.2,2023-06-25,14,-1167.0,Expired
2023-06-18,Coffee Beans,7.4,kg,889.88,6611.38,2023-08-17,60,-1114.0,Expired
2023-06-18,Milk,5.7,liter,94.25,541.36,2023-06-25,7,-1167.0,Expired
2023-06-18,Bread,7.4,pack,55.61,413.59,2023-06-22,4,-1170.0,Expired
2023-06-18,Chocolate Syrup,12.7,bottle,230.77,2936.0,2023-09-16,90,-1084.0,Expired
2023-06-18,Caramel Syrup,11.0,bottle,232.18,2549.18,2023-09-16,90,-1084.0,Expired
2023-06-18,Noodles,6.0,pack,47.28,284.37,2024-06-17,365,-809.0,Expired
2023-06-25,Coffee Beans,4.5,kg,886.28,3988.06,2023-08-24,60,-1107.0,Expired
2023-06-25,Fresh Cream,3.3,liter,190.8,623.37,2023-07-05,10,-1157.0,Expired
2023-06-25,Chicken,11.2,kg,320.54,3599.46,2023-06-30,5,-1162.0,Expired
2023-06-25,Bread,6.7,pack,57.33,383.99,2023-06-29,4,-1163.0,Expired
2023-06-25,Chocolate Syrup,10.2,bottle,222.59,2261.87,2023-09-23,90,-1077.0,Expired
2023-06-25,Caramel Syrup,6.4,bottle,233.17,1484.83,2023-09-23,90,-1077.0,Expired
2023-06-25,Strawberry,8.2,kg,294.38,2428.29,2023-06-30,5,-1162.0,Expired
2023-06-25,Oreo,5.3,pack,152.52,811.69,2023-12-22,180,-987.0,Expired
2023-06-25,Potatoes,5.7,kg,101.5,577.38,2023-07-09,14,-1153.0,Expired
2023-06-25,Noodles,8.1,pack,48.29,392.72,2024-06-24,365,-802.0,Expired
2023-07-02,Coffee Beans,9.5,kg,887.32,8462.47,2023-08-31,60,-1100.0,Expired
2023-07-02,Bread,4.2,pack,57.25,242.74,2023-07-06,4,-1156.0,Expired
2023-07-02,Chocolate Syrup,6.6,bottle,223.21,1463.26,2023-09-30,90,-1070.0,Expired
2023-07-02,Matcha Powder,4.9,kg,993.08,4913.12,2023-12-29,180,-980.0,Expired
2023-07-02,Potatoes,11.9,kg,98.23,1164.64,2023-07-16,14,-1146.0,Expired
2023-07-09,Coffee Beans,3.3,kg,893.24,2973.85,2023-09-07,60,-1093.0,Expired
2023-07-09,Milk,3.8,liter,95.45,359.8,2023-07-16,7,-1146.0,Expired
2023-07-09,Cheese,8.0,kg,512.68,4117.91,2023-07-30,21,-1132.0,Expired
2023-07-09,Bread,7.6,pack,58.52,446.78,2023-07-13,4,-1149.0,Expired
2023-07-09,Chocolate Syrup,4.6,bottle,232.6,1072.84,2023-10-07,90,-1063.0,Expired
2023-07-09,Caramel Syrup,10.7,bottle,225.44,2412.04,2023-10-07,90,-1063.0,Expired
2023-07-09,Matcha Powder,3.9,kg,992.86,3829.56,2024-01-05,180,-973.0,Expired
2023-07-09,Strawberry,5.7,kg,299.06,1716.44,2023-07-14,5,-1148.0,Expired
2023-07-09,Oreo,7.7,pack,156.03,1196.18,2024-01-05,180,-973.0,Expired
2023-07-16,Coffee Beans,5.7,kg,892.95,5120.3,2023-09-14,60,-1086.0,Expired
2023-07-16,Milk,9.3,liter,96.96,903.61,2023-07-23,7,-1139.0,Expired
2023-07-16,Fresh Cream,6.7,liter,184.35,1240.66,2023-07-26,10,-1136.0,Expired
2023-07-16,Caramel Syrup,10.4,bottle,229.72,2398.75,2023-10-14,90,-1056.0,Expired
2023-07-16,Matcha Powder,4.2,kg,968.31,4057.25,2024-01-12,180,-966.0,Expired
2023-07-16,Strawberry,4.2,kg,298.28,1266.42,2023-07-21,5,-1141.0,Expired
2023-07-16,Oreo,7.0,pack,160.07,1113.65,2024-01-12,180,-966.0,Expired
2023-07-16,Noodles,10.8,pack,48.63,524.15,2024-07-15,365,-781.0,Expired
2023-07-23,Coffee Beans,10.9,kg,871.67,9481.55,2023-09-21,60,-1079.0,Expired
2023-07-23,Milk,5.7,liter,92.55,526.64,2023-07-30,7,-1132.0,Expired
2023-07-23,Bread,4.6,pack,57.17,264.85,2023-07-27,4,-1135.0,Expired
2023-07-23,Chocolate Syrup,7.0,bottle,229.5,1611.84,2023-10-21,90,-1049.0,Expired
2023-07-23,Caramel Syrup,13.0,bottle,225.08,2929.2,2023-10-21,90,-1049.0,Expired
2023-07-23,Matcha Powder,10.9,kg,1029.31,11176.29,2024-01-19,180,-959.0,Expired
2023-07-23,Strawberry,6.2,kg,288.3,1780.77,2023-07-28,5,-1134.0,Expired
2023-07-23,Oreo,11.2,pack,157.13,1757.23,2024-01-19,180,-959.0,Expired
2023-07-23,Potatoes,7.6,kg,100.99,766.45,2023-08-06,14,-1125.0,Expired
2023-07-30,Coffee Beans,10.7,kg,894.04,9602.99,2023-09-28,60,-1072.0,Expired
2023-07-30,Chicken,11.0,kg,318.08,3490.82,2023-08-04,5,-1127.0,Expired
2023-07-30,Bread,4.8,pack,58.84,282.55,2023-08-03,4,-1128.0,Expired
2023-07-30,Chocolate Syrup,8.1,bottle,227.89,1855.9,2023-10-28,90,-1042.0,Expired
2023-07-30,Strawberry,10.6,kg,297.92,3147.19,2023-08-04,5,-1127.0,Expired
2023-07-30,Oreo,4.8,pack,159.36,768.47,2024-01-26,180,-952.0,Expired
2023-07-30,Potatoes,3.4,kg,102.94,349.95,2023-08-13,14,-1118.0,Expired
2023-07-30,Noodles,4.1,pack,46.7,193.18,2024-07-29,365,-767.0,Expired
2023-08-06,Coffee Beans,8.9,kg,917.36,8128.94,2023-10-05,60,-1065.0,Expired
2023-08-06,Milk,9.0,liter,96.32,869.59,2023-08-13,7,-1118.0,Expired
2023-08-06,Fresh Cream,8.9,liter,185.58,1655.93,2023-08-16,10,-1115.0,Expired
2023-08-06,Chicken,5.3,kg,320.78,1712.32,2023-08-11,5,-1120.0,Expired
2023-08-06,Cheese,4.3,kg,513.43,2209.49,2023-08-27,21,-1104.0,Expired
2023-08-06,Bread,9.0,pack,57.83,521.4,2023-08-10,4,-1121.0,Expired
2023-08-06,Matcha Powder,6.2,kg,998.89,6166.53,2024-02-02,180,-945.0,Expired
2023-08-06,Strawberry,11.4,kg,297.65,3385.13,2023-08-11,5,-1120.0,Expired
2023-08-06,Oreo,5.3,pack,157.27,829.63,2024-02-02,180,-945.0,Expired
2023-08-06,Potatoes,8.9,kg,100.69,899.11,2023-08-20,14,-1111.0,Expired
2023-08-13,Coffee Beans,7.9,kg,873.71,6899.25,2023-10-12,60,-1058.0,Expired
2023-08-13,Milk,5.8,liter,92.47,534.27,2023-08-20,7,-1111.0,Expired
2023-08-13,Fresh Cream,9.6,liter,194.57,1867.62,2023-08-23,10,-1108.0,Expired
2023-08-13,Chicken,4.1,kg,324.15,1335.46,2023-08-18,5,-1113.0,Expired
2023-08-13,Bread,11.7,pack,57.62,675.58,2023-08-17,4,-1114.0,Expired
2023-08-13,Chocolate Syrup,6.5,bottle,237.76,1543.83,2023-11-11,90,-1028.0,Expired
2023-08-13,Caramel Syrup,7.3,bottle,226.79,1645.33,2023-11-11,90,-1028.0,Expired
2023-08-13,Strawberry,9.0,kg,293.15,2636.63,2023-08-18,5,-1113.0,Expired
2023-08-13,Potatoes,4.9,kg,99.33,489.34,2023-08-27,14,-1104.0,Expired
2023-08-20,Coffee Beans,6.3,kg,883.69,5543.11,2023-10-19,60,-1051.0,Expired
2023-08-20,Milk,10.2,liter,94.26,959.16,2023-08-27,7,-1104.0,Expired
2023-08-20,Chicken,5.9,kg,326.79,1934.32,2023-08-25,5,-1106.0,Expired
2023-08-20,Matcha Powder,11.6,kg,989.38,11433.57,2024-02-16,180,-931.0,Expired
2023-08-20,Oreo,10.1,pack,158.54,1606.35,2024-02-16,180,-931.0,Expired
2023-08-20,Potatoes,11.2,kg,100.63,1123.02,2023-09-03,14,-1097.0,Expired
2023-08-20,Noodles,9.1,pack,47.1,429.31,2024-08-19,365,-746.0,Expired
2023-08-27,Coffee Beans,7.8,kg,914.43,7162.35,2023-10-26,60,-1044.0,Expired
2023-08-27,Milk,8.3,liter,93.01,773.22,2023-09-03,7,-1097.0,Expired
2023-08-27,Chicken,4.0,kg,318.95,1287.65,2023-09-01,5,-1099.0,Expired
2023-08-27,Cheese,3.9,kg,507.25,1972.68,2023-09-17,21,-1083.0,Expired
2023-08-27,Bread,11.1,pack,58.28,646.83,2023-08-31,4,-1100.0,Expired
2023-08-27,Chocolate Syrup,7.4,bottle,229.26,1697.12,2023-11-25,90,-1014.0,Expired
2023-08-27,Caramel Syrup,12.4,bottle,234.89,2913.02,2023-11-25,90,-1014.0,Expired
2023-08-27,Oreo,8.1,pack,161.79,1313.84,2024-02-23,180,-924.0,Expired
2023-08-27,Potatoes,8.6,kg,102.57,882.1,2023-09-10,14,-1090.0,Expired
2023-08-27,Noodles,4.3,pack,47.47,205.51,2024-08-26,365,-739.0,Expired
2023-09-03,Coffee Beans,8.0,kg,923.12,7422.95,2023-11-02,60,-1037.0,Expired
2023-09-03,Milk,6.7,liter,95.41,638.78,2023-09-10,7,-1090.0,Expired
2023-09-03,Fresh Cream,7.3,liter,196.36,1433.21,2023-09-13,10,-1087.0,Expired
2023-09-03,Cheese,11.1,kg,513.09,5691.56,2023-09-24,21,-1076.0,Expired
2023-09-03,Bread,4.6,pack,57.4,262.56,2023-09-07,4,-1093.0,Expired
2023-09-03,Chocolate Syrup,9.7,bottle,230.9,2236.83,2023-12-02,90,-1007.0,Expired
2023-09-03,Caramel Syrup,7.6,bottle,234.69,1785.63,2023-12-02,90,-1007.0,Expired
2023-09-03,Matcha Powder,6.5,kg,1025.76,6663.4,2024-03-01,180,-917.0,Expired
2023-09-03,Strawberry,5.7,kg,297.48,1680.88,2023-09-08,5,-1092.0,Expired
2023-09-03,Potatoes,7.5,kg,98.47,741.75,2023-09-17,14,-1083.0,Expired
2023-09-03,Noodles,7.8,pack,47.86,370.93,2024-09-02,365,-732.0,Expired
2023-09-10,Coffee Beans,8.2,kg,886.75,7257.49,2023-11-09,60,-1030.0,Expired
2023-09-10,Milk,9.3,liter,98.58,920.13,2023-09-17,7,-1083.0,Expired
2023-09-10,Fresh Cream,9.1,liter,191.97,1738.71,2023-09-20,10,-1080.0,Expired
2023-09-10,Chicken,8.8,kg,316.16,2794.24,2023-09-15,5,-1085.0,Expired
2023-09-10,Cheese,11.4,kg,517.46,5874.74,2023-10-01,21,-1069.0,Expired
2023-09-10,Bread,9.6,pack,60.37,577.37,2023-09-14,4,-1086.0,Expired
2023-09-10,Chocolate Syrup,8.1,bottle,235.21,1916.4,2023-12-09,90,-1000.0,Expired
2023-09-10,Strawberry,4.8,kg,295.83,1413.84,2023-09-15,5,-1085.0,Expired
2023-09-10,Potatoes,9.6,kg,103.78,996.45,2023-09-24,14,-1076.0,Expired
2023-09-10,Noodles,9.5,pack,47.51,452.03,2024-09-09,365,-725.0,Expired
2023-09-17,Milk,4.1,liter,98.94,405.63,2023-09-24,7,-1076.0,Expired
2023-09-17,Fresh Cream,4.8,liter,190.07,910.93,2023-09-27,10,-1073.0,Expired
2023-09-17,Chicken,4.8,kg,325.95,1548.69,2023-09-22,5,-1078.0,Expired
2023-09-17,Caramel Syrup,5.0,bottle,234.94,1167.35,2023-12-16,90,-993.0,Expired
2023-09-17,Strawberry,13.2,kg,305.7,4042.66,2023-09-22,5,-1078.0,Expired
2023-09-17,Potatoes,10.5,kg,104.24,1092.83,2023-10-01,14,-1069.0,Expired
2023-09-17,Noodles,7.4,pack,46.91,346.66,2024-09-16,365,-718.0,Expired
2023-09-24,Coffee Beans,9.1,kg,933.56,8473.28,2023-11-23,60,-1016.0,Expired
2023-09-24,Milk,11.7,liter,93.92,1097.49,2023-10-01,7,-1069.0,Expired
2023-09-24,Fresh Cream,9.5,liter,191.75,1826.18,2023-10-04,10,-1066.0,Expired
2023-09-24,Chicken,3.2,kg,315.47,1017.6,2023-09-29,5,-1071.0,Expired
2023-09-24,Cheese,11.9,kg,525.02,6267.26,2023-10-15,21,-1055.0,Expired
2023-09-24,Bread,6.6,pack,59.11,388.43,2023-09-28,4,-1072.0,Expired
2023-09-24,Chocolate Syrup,4.3,bottle,241.13,1040.75,2023-12-23,90,-986.0,Expired
2023-09-24,Caramel Syrup,9.5,bottle,236.03,2232.78,2023-12-23,90,-986.0,Expired
2023-09-24,Strawberry,10.2,kg,294.82,3002.06,2023-09-29,5,-1071.0,Expired
2023-09-24,Potatoes,11.1,kg,102.12,1135.5,2023-10-08,14,-1062.0,Expired
2023-09-24,Noodles,10.7,pack,48.96,523.03,2024-09-23,365,-711.0,Expired
2023-10-01,Coffee Beans,5.1,kg,935.23,4736.4,2023-11-30,60,-1009.0,Expired
