date,item_name,category,quantity_wasted,waste_reason,cost_per_item,total_waste_cost,month,month_name
2023-03-11,Chiz melt  (spam lite),Mini Bites,3,Spoiled,27.0,81.0,3.0,March
2023-03-11,brownie,Sans Coffee,1,Over-prepared,21.0,21.0,3.0,March
2023-03-11,Product Name (special a),Sans Coffee,1,Over-prepared,41.0,41.0,3.0,March
2023-03-11,BFF (Better French fries)medium  (sour cream),Mini Bites,3,Quality issue,16.0,48.0,3.0,March
2023-03-12,matcha espresso fusion  (iced),Signature Kôfē,2,Over-prepared,35.0,70.0,3.0,March
2023-03-12,mocha (hot),Coffee Based,3,Expired,31.0,93.0,3.0,March
2023-03-12,americano (hot),Coffee Based,3,Over-prepared,26.0,78.0,3.0,March
2023-03-12,Coffee Syphon (arabica),Sans Coffee,1,Spoiled,30.0,30.0,3.0,March
2023-03-12,Add_on (seaweeds),Sans Coffee,1,Over-prepared,8.0,8.0,3.0,March
2023-03-13,Brownies ,Sans Coffee,2,Over-prepared,21.0,42.0,3.0,March
2023-03-13,caramel macchiato (iced),Coffee Based,1,Spoiled,45.0,45.0,3.0,March
2023-03-13,Sinagtala lomi 20 pax,Mini Bites,1,Spoiled,360.0,360.0,3.0,March
2023-03-13,Overload lomi (malabnaw),Mini Bites,1,Quality issue,99.0,99.0,3.0,March
2023-03-14, latte ,Coffee Based,3,Spoiled,29.0,87.0,3.0,March
2023-03-14,FFFF (med sc),Sans Coffee,3,Expired,8.0,24.0,3.0,March
2023-03-14,white mocha (hot),Coffee Based,3,Expired,42.0,126.0,3.0,March
2023-03-14,Add_on (egg),Sans Coffee,2,Over-prepared,10.0,20.0,3.0,March
2023-03-15,matcha espresso fusion  (hot),Signature Kôfē,3,Expired,32.0,96.0,3.0,March
2023-03-15,strawberry latte,Sans Coffee,1,Expired,36.0,36.0,3.0,March
2023-03-15,premium barako,Sans Coffee,1,Over-prepared,15.0,15.0,3.0,March
2023-03-15,Add_on (egg),Sans Coffee,3,Spoiled,10.0,30.0,3.0,March
2023-03-16,Product Name (special a),Sans Coffee,2,Quality issue,41.0,82.0,3.0,March
2023-03-16,premium barako,Sans Coffee,2,Over-prepared,15.0,30.0,3.0,March
2023-03-16,caramel macchiato (iced),Coffee Based,2,Spoiled,45.0,90.0,3.0,March
2023-03-16,BFF (Better French fries)medium  (medium ),Mini Bites,2,Expired,15.0,30.0,3.0,March
2023-03-17, latte ,Coffee Based,4,Expired,29.0,116.0,3.0,March
2023-03-17,BFF (Better French fries) Large (sour cream),Mini Bites,2,Expired,28.0,56.0,3.0,March
2023-03-17,hot cocoa latte ,Sans Coffee,3,Over-prepared,32.0,96.0,3.0,March
2023-03-17,BFF (Better French fries) Large (cheese),Mini Bites,1,Expired,30.0,30.0,3.0,March
2023-03-18,street food sampler (large),Sans Coffee,3,Over-prepared,28.0,84.0,3.0,March
2023-03-18,iced premium barako,Sans Coffee,1,Over-prepared,21.0,21.0,3.0,March
2023-03-18,iced creamy barako,Sans Coffee,2,Over-prepared,24.0,48.0,3.0,March
2023-03-18,hot citron tea,Sans Coffee,1,Over-prepared,22.0,22.0,3.0,March
2023-03-19,Chicken wings (half dozen),Mini Bites,2,Over-prepared,82.0,164.0,3.0,March
2023-03-19,white mocha  (iced),Coffee Based,2,Over-prepared,35.0,70.0,3.0,March
2023-03-19,Chicken wings (extra rice ),Mini Bites,3,Quality issue,4.0,12.0,3.0,March
2023-03-19,French fries Spicy barbecue  (large ),Mini Bites,1,Spoiled,30.0,30.0,3.0,March
2023-03-19,blended cappuccino ,Kôfē Frappé,2,Quality issue,33.0,66.0,3.0,March
2023-03-20,caramel macchiato (iced),Coffee Based,2,Expired,45.0,90.0,3.0,March
2023-03-20,Chicken wings (1 dozen),Mini Bites,3,Over-prepared,165.0,495.0,3.0,March
2023-03-20,Chicken wings (extra rice ),Mini Bites,2,Spoiled,4.0,8.0,3.0,March
2023-03-20,caramel macchiato (hot),Coffee Based,2,Expired,42.0,84.0,3.0,March
2023-03-21,the super charged (25% more coffee)  (hot),Sans Coffee,1,Expired,31.0,31.0,3.0,March
2023-03-21,Coffee Syphon (arabica),Sans Coffee,3,Spoiled,30.0,90.0,3.0,March
2023-03-21,Chicken pops (bbq),Mini Bites,3,Over-prepared,50.0,150.0,3.0,March
2023-03-22,BFF (Better French fries) Large (bbq),Mini Bites,2,Spoiled,28.0,56.0,3.0,March
2023-03-22,Spanish latte (hot),Coffee Based,1,Quality issue,29.0,29.0,3.0,March
2023-03-22,mocha (hot),Coffee Based,1,Over-prepared,31.0,31.0,3.0,March
2023-03-23,oreo overload Frappe,Kôfē Frappé,1,Expired,48.0,48.0,3.0,March
2023-03-23,Add_on (kimchi),Sans Coffee,3,Expired,15.0,45.0,3.0,March
2023-03-23,super mocha ,Kôfē Frappé,3,Expired,38.0,114.0,3.0,March
2023-03-23,americano (hot),Coffee Based,1,Over-prepared,26.0,26.0,3.0,March
2023-03-24,mocha (iced),Coffee Based,2,Expired,35.0,70.0,3.0,March
2023-03-24,BFF (Better French fries)medium  (medium ),Mini Bites,1,Quality issue,15.0,15.0,3.0,March
2023-03-24,Add_on (egg),Sans Coffee,3,Over-prepared,10.0,30.0,3.0,March
2023-03-24,the super charged (25% more coffee)  (iced),Sans Coffee,2,Spoiled,34.0,68.0,3.0,March
2023-03-25,the SM tea,Sans Coffee,3,Over-prepared,37.0,111.0,3.0,March
2023-03-25,Add_on (cheese),Sans Coffee,2,Over-prepared,12.0,24.0,3.0,March
2023-03-25,white mocha  (hot),Coffee Based,3,Over-prepared,32.0,96.0,3.0,March
2023-03-25,oreo overload Frappe,Kôfē Frappé,2,Quality issue,48.0,96.0,3.0,March
2023-03-26,iced premium barako,Sans Coffee,2,Quality issue,21.0,42.0,3.0,March
2023-03-26,iced creamy barako,Sans Coffee,1,Expired,24.0,24.0,3.0,March
2023-03-26,French fries Spicy barbecue  (medium ),Mini Bites,1,Over-prepared,18.0,18.0,3.0,March
2023-03-26,Chicken wings (extra rice ),Mini Bites,2,Spoiled,4.0,8.0,3.0,March
2023-03-27,Product Name (regular ),Sans Coffee,1,Over-prepared,18.0,18.0,3.0,March
2023-03-27,Ramen (regular),Mini Bites,3,Spoiled,17.0,51.0,3.0,March
2023-03-27,dalgona ,Signature Kôfē,1,Over-prepared,32.0,32.0,3.0,March
2023-03-27,blended cappuccino ,Kôfē Frappé,3,Over-prepared,33.0,99.0,3.0,March
2023-03-28,FFFF (plain with catsup medium),Sans Coffee,3,Expired,8.0,24.0,3.0,March
2023-03-28,Product Name (special b),Sans Coffee,2,Spoiled,46.0,92.0,3.0,March
2023-03-28,Overload lomi (malabnaw),Mini Bites,1,Spoiled,99.0,99.0,3.0,March
2023-03-28,the SM tea,Sans Coffee,3,Over-prepared,37.0,111.0,3.0,March
2023-03-29,Chiz melt  (ham),Mini Bites,2,Quality issue,26.0,52.0,3.0,March
2023-03-29,blended cappuccino ,Kôfē Frappé,3,Over-prepared,33.0,99.0,3.0,March
2023-03-29,Add_on (cheese),Sans Coffee,3,Over-prepared,12.0,36.0,3.0,March
2023-03-29,Add_on (egg),Sans Coffee,2,Expired,10.0,20.0,3.0,March
2023-03-30,street food sampler (large),Sans Coffee,1,Quality issue,28.0,28.0,3.0,March
2023-03-30,Chiz melt  (bacon),Mini Bites,3,Over-prepared,28.0,84.0,3.0,March
2023-03-30,Add_on (cheese),Sans Coffee,3,Quality issue,12.0,36.0,3.0,March
2023-03-30,matcha espresso fusion  (iced),Signature Kôfē,2,Spoiled,35.0,70.0,3.0,March
2023-03-31,the super charged (25% more coffee)  (hot),Sans Coffee,1,Over-prepared,31.0,31.0,3.0,March
2023-03-31,Drip coffee  (barako),Sans Coffee,2,Quality issue,17.0,34.0,3.0,March
2023-03-31,Add_on (ham),Sans Coffee,3,Quality issue,15.0,45.0,3.0,March
2023-03-31,BFF (Better French fries) Large (sour cream),Mini Bites,3,Spoiled,28.0,84.0,3.0,March
2023-04-01,Overload lomi (malabnaw),Mini Bites,2,Over-prepared,99.0,198.0,4.0,April
2023-04-01,white mocha  (hot),Coffee Based,3,Spoiled,32.0,96.0,4.0,April
2023-04-01,strawberry latte,Sans Coffee,2,Spoiled,36.0,72.0,4.0,April
2023-04-01,Chicken fillet,Mini Bites,1,Expired,45.0,45.0,4.0,April
2023-04-02,Cookies ,Sans Coffee,3,Over-prepared,18.0,54.0,4.0,April
2023-04-02,choco dinosaur latte,Sans Coffee,3,Expired,35.0,105.0,4.0,April
2023-04-02,Whipped Americano,Signature Kôfē,2,Expired,36.0,72.0,4.0,April
2023-04-02,Spanish latte (iced),Coffee Based,4,Spoiled,32.0,128.0,4.0,April
2023-04-02,Chicken pops (bbq),Mini Bites,3,Expired,50.0,150.0,4.0,April
2023-04-03,Choco caramel decadence,Sans Coffee,1,Expired,45.0,45.0,4.0,April
2023-04-03,white mocha  (iced),Coffee Based,2,Over-prepared,35.0,70.0,4.0,April
2023-04-03,caramel macchiato  (hot),Coffee Based,1,Over-prepared,32.0,32.0,4.0,April
2023-04-03,FFFF (large sc),Sans Coffee,1,Spoiled,18.0,18.0,4.0,April
2023-04-04,simple milk tea ,Sans Coffee,3,Over-prepared,28.0,84.0,4.0,April
2023-04-04,white mocha (hot),Coffee Based,3,Over-prepared,42.0,126.0,4.0,April
2023-04-04,BFF (Better French fries) Large (cheese),Mini Bites,1,Over-prepared,30.0,30.0,4.0,April
2023-04-04,choco dinosaur latte,Sans Coffee,1,Spoiled,35.0,35.0,4.0,April
2023-04-05,Ramen (regular),Mini Bites,2,Over-prepared,17.0,34.0,4.0,April
2023-04-05,triple caramel ,Kôfē Frappé,3,Over-prepared,38.0,114.0,4.0,April
2023-04-05,matcha Supreme latte (iced),Sans Coffee,2,Over-prepared,35.0,70.0,4.0,April
2023-04-06,latte,Coffee Based,1,Spoiled,42.0,42.0,4.0,April
2023-04-06,simple milk tea ,Sans Coffee,2,Spoiled,28.0,56.0,4.0,April
2023-04-06,Chiz melt  (ham),Mini Bites,1,Over-prepared,26.0,26.0,4.0,April
2023-04-06,brownie,Sans Coffee,1,Expired,21.0,21.0,4.0,April
2023-04-07,BFF (Better French fries) Large (cheese ),Mini Bites,1,Expired,28.0,28.0,4.0,April
2023-04-07,Spanish latte (iced),Coffee Based,3,Spoiled,32.0,96.0,4.0,April
2023-04-07,hot citron tea,Sans Coffee,3,Spoiled,22.0,66.0,4.0,April
2023-04-07,FFFF (large bbq),Sans Coffee,3,Over-prepared,18.0,54.0,4.0,April
2023-04-08,hot cocoa latte ,Sans Coffee,3,Spoiled,32.0,96.0,4.0,April
2023-04-08,Add_on (seaweeds),Sans Coffee,3,Over-prepared,8.0,24.0,4.0,April
2023-04-08,BFF (Better French fries) Large (cheese ),Mini Bites,2,Over-prepared,28.0,56.0,4.0,April
2023-04-08,dalgona ,Signature Kôfē,3,Over-prepared,32.0,96.0,4.0,April
2023-04-08,hot creamy barako,Sans Coffee,1,Over-prepared,19.0,19.0,4.0,April
2023-04-09,BFF (Better French fries) Large (sour cream),Mini Bites,1,Over-prepared,28.0,28.0,4.0,April
2023-04-09,Product Name (special b),Sans Coffee,3,Over-prepared,46.0,138.0,4.0,April
2023-04-09,Sinagtala lomi 20 pax,Mini Bites,4,Over-prepared,360.0,1440.0,4.0,April
2023-04-09,BFF (Better French fries)medium  ( cheese ),Mini Bites,2,Spoiled,16.0,32.0,4.0,April
2023-04-10,BFF (Better French fries) Large (cheese ),Mini Bites,3,Spoiled,28.0,84.0,4.0,April
2023-04-10,matcha espresso fusion  (hot),Signature Kôfē,2,Over-prepared,32.0,64.0,4.0,April
2023-04-10,BFF (Better French fries)medium  (large),Mini Bites,3,Spoiled,27.0,81.0,4.0,April
2023-04-10,BFF (Better French fries)medium  ( cheese ),Mini Bites,3,Over-prepared,16.0,48.0,4.0,April
2023-04-11,the super charged (25% more coffee)  (iced),Sans Coffee,1,Spoiled,34.0,34.0,4.0,April
2023-04-11,latte,Coffee Based,3,Expired,42.0,126.0,4.0,April
2023-04-11,white mocha  (iced),Coffee Based,3,Expired,35.0,105.0,4.0,April
2023-04-11,Chicken fillet,Mini Bites,1,Over-prepared,45.0,45.0,4.0,April
2023-04-12,Chiz melt  (bacon),Mini Bites,1,Quality issue,28.0,28.0,4.0,April
2023-04-12,matcha espresso fusion  (iced),Signature Kôfē,3,Expired,35.0,105.0,4.0,April
2023-04-12,caramel macchiato  (hot),Coffee Based,3,Over-prepared,32.0,96.0,4.0,April
2023-04-12,Belgian waffle  (mango caramel ),Sans Coffee,3,Expired,27.0,81.0,4.0,April
2023-04-13,americano (hot),Coffee Based,3,Over-prepared,26.0,78.0,4.0,April
2023-04-13,matcha Supreme latte (iced),Sans Coffee,3,Over-prepared,35.0,105.0,4.0,April
2023-04-13,Cookies ,Sans Coffee,3,Expired,18.0,54.0,4.0,April
2023-04-13, latte ,Coffee Based,1,Spoiled,29.0,29.0,4.0,April
2023-04-14,Chicken wings (half dozen),Mini Bites,4,Over-prepared,82.0,328.0,4.0,April
2023-04-14,dalgona ,Signature Kôfē,2,Over-prepared,32.0,64.0,4.0,April
2023-04-14,Chicken wings (1 dozen),Mini Bites,3,Over-prepared,165.0,495.0,4.0,April
2023-04-14,white mocha  (hot),Coffee Based,1,Over-prepared,32.0,32.0,4.0,April
2023-04-15,white mocha (iced),Coffee Based,2,Over-prepared,45.0,90.0,4.0,April
2023-04-15,blended cappuccino ,Kôfē Frappé,2,Expired,33.0,66.0,4.0,April
2023-04-15,French fries Spicy barbecue  (large ),Mini Bites,2,Quality issue,30.0,60.0,4.0,April
2023-04-15,the super charged (25% more coffee)  (hot),Sans Coffee,1,Spoiled,31.0,31.0,4.0,April
2023-04-16,FFFF (plain with catsup medium),Sans Coffee,2,Expired,8.0,16.0,4.0,April
2023-04-16,extra shot,Sans Coffee,3,Over-prepared,16.0,48.0,4.0,April
2023-04-16,BFF (Better French fries)medium  (sour cream),Mini Bites,2,Expired,16.0,32.0,4.0,April
2023-04-16,Chiz melt  (spam lite),Mini Bites,2,Quality issue,27.0,54.0,4.0,April
2023-04-16,triple caramel ,Kôfē Frappé,3,Over-prepared,38.0,114.0,4.0,April
2023-04-17,the super charged (25% more coffee)  (hot),Sans Coffee,2,Expired,31.0,62.0,4.0,April
2023-04-17,iced creamy barako,Sans Coffee,1,Over-prepared,24.0,24.0,4.0,April
2023-04-17,Chicken fillet,Mini Bites,3,Over-prepared,45.0,135.0,4.0,April
2023-04-17,Chicken wings (half dozen),Mini Bites,3,Over-prepared,82.0,246.0,4.0,April
2023-04-18,Brownies ,Sans Coffee,3,Over-prepared,21.0,63.0,4.0,April
2023-04-18,kofetala special blend ,Sans Coffee,1,Over-prepared,34.0,34.0,4.0,April
2023-04-18,Strawberry Reverie ,Sans Coffee,4,Over-prepared,39.0,156.0,4.0,April
2023-04-19,Iced honey shaken espresso ,Signature Kôfē,3,Over-prepared,36.0,108.0,4.0,April
2023-04-19,Cold brew with foamy vanilla ,Sans Coffee,3,Expired,31.0,93.0,4.0,April
2023-04-19,blended cappuccino ,Kôfē Frappé,1,Spoiled,33.0,33.0,4.0,April
2023-04-19,cappuccino  (ice),Coffee Based,1,Expired,32.0,32.0,4.0,April
2023-04-20,belgian waffle plain ,Sans Coffee,2,Over-prepared,21.0,42.0,4.0,April
2023-04-20,hot citron tea,Sans Coffee,1,Spoiled,22.0,22.0,4.0,April
2023-04-20,Drip coffee  (barako),Sans Coffee,1,Expired,17.0,17.0,4.0,April
2023-04-20,BFF (Better French fries)medium  (sour cream),Mini Bites,3,Over-prepared,16.0,48.0,4.0,April
2023-04-21,Add_on (seaweeds),Sans Coffee,3,Over-prepared,8.0,24.0,4.0,April
2023-04-21,blended cappuccino ,Kôfē Frappé,1,Over-prepared,33.0,33.0,4.0,April
2023-04-21,FFFF (large cheese ),Sans Coffee,2,Expired,18.0,36.0,4.0,April
2023-04-21,dalgona ,Signature Kôfē,2,Over-prepared,32.0,64.0,4.0,April
2023-04-22,Belgian waffle  (mango caramel ),Sans Coffee,1,Expired,27.0,27.0,4.0,April
2023-04-22,Spanish latte (iced),Coffee Based,1,Over-prepared,32.0,32.0,4.0,April
2023-04-22,white mocha (hot),Coffee Based,3,Over-prepared,42.0,126.0,4.0,April
2023-04-22,BFF (Better French fries) Large (cheese),Mini Bites,3,Spoiled,30.0,90.0,4.0,April
2023-04-22,BFF (Better French fries)medium  (sour cream),Mini Bites,3,Spoiled,16.0,48.0,4.0,April
2023-04-23,Extra Rice,Sans Coffee,2,Over-prepared,5.0,10.0,4.0,April
