date_only,total_records,total_qty,total_revenue,total_cost,total_waste_cost,avg_profit_margin
2023-09-29,28,33,3136.0,940.8000000000001,82.05,0.7
2023-09-30,14,15,1579.0,473.70000000000005,35.17,0.7
2023-10-01,10,13,1357.0,407.1,31.759999999999998,0.7
2023-10-02,8,9,942.0,282.6,20.3,0.7
2023-10-03,7,7,674.0,202.20000000000002,11.96,0.7
2023-10-04,7,11,920.0,276.0,19.65,0.7
2023-10-05,9,12,1020.0,291.0,17.94,0.7151555555555555
2023-10-08,16,18,1657.0,497.1,40.66,0.7
2023-10-09,14,15,1426.0,427.8,26.52,0.7
2023-10-10,17,18,1776.0,532.8000000000001,40.05,0.7
2023-10-11,14,20,1768.0,530.4,46.4,0.7
2023-10-12,8,8,672.0,201.6,22.75,0.7
2023-10-13,14,18,1832.0,549.6,34.31,0.7
2023-10-14,23,25,2485.0,745.5,56.769999999999996,0.7
2023-10-15,15,17,1632.0,489.6,35.29,0.7
2023-10-16,11,15,1516.0,454.8,31.45,0.7
2023-10-17,8,10,898.0,269.4,23.740000000000002,0.7
2023-10-18,9,14,1487.0,431.1,24.7,0.7151555555555555
2023-10-19,6,7,675.0,202.5,17.25,0.6999999999999998
2023-10-20,10,14,1359.0,407.70000000000005,28.84,0.7
2023-10-21,13,14,1431.0,429.3,41.05,0.7
2023-10-22,27,33,3368.0,950.4,72.66,0.7151555555555555
2023-10-23,10,13,1259.0,377.70000000000005,39.589999999999996,0.7
2023-10-24,6,9,952.0,270.6,16.04,0.7227333333333332
2023-10-25,24,33,3340.0,1002.0,65.8,0.6999999999999998
2023-10-26,10,13,1280.0,384.0,35.11,0.7
2023-10-27,16,23,2332.0,684.6,46.22,0.708525
2023-10-28,20,23,2200.0,645.0,45.45,0.7068199999999999
2023-10-29,14,14,1413.0,423.90000000000003,30.23,0.7
2023-10-30,47,63,6200.0,1845.0,143.58,0.7029021276595745
2023-10-31,33,36,3614.0,1069.2,83.84,0.7041333333333333
2023-11-01,18,18,1816.0,529.8000000000001,38.56,0.7075777777777777
2023-11-02,70,84,8684.2,2605.26,187.96,0.7
2023-11-03,18,22,2316.0,649.8,47.35,0.7151555555555555
2023-11-04,18,22,2198.0,659.4,49.98,0.7
2023-11-05,51,63,6248.0,1874.4,151.99,0.7
2023-11-06,6,9,917.0,275.1,19.330000000000002,0.6999999999999998
2023-11-07,15,19,1673.0,501.9,40.41,0.7
2023-11-08,7,10,1070.0,321.00000000000006,19.95,0.7
2023-11-09,27,35,3521.0,1056.3,80.03999999999999,0.7
2023-11-10,14,20,1912.0,573.6,39.29,0.7
2023-11-11,15,16,1553.0,465.90000000000003,37.11,0.7
2023-11-12,16,19,1995.0,598.5,46.74,0.7
2023-11-13,11,20,1864.0,559.2,38.78,0.7
2023-11-14,8,8,739.0,221.7,14.75,0.7
2023-11-15,19,23,2170.0,651.0,52.02,0.7
2023-11-16,6,6,644.0,193.20000000000002,12.370000000000001,0.6999999999999998
2023-11-17,6,7,755.0,226.5,21.58,0.6999999999999998
2023-11-18,5,8,852.0,255.60000000000002,19.51,0.7
2023-11-19,11,22,2233.0,669.9000000000001,54.41,0.7
2023-11-20,4,8,814.0,214.2,15.71,0.7341
2023-11-21,5,6,626.0,172.8,13.01,0.72728
2023-11-22,14,18,1858.0,527.4000000000001,42.17,0.7097428571428571
2023-11-23,17,37,3972.0,1161.6,89.86,0.7080235294117646
2023-11-24,13,14,1229.0,353.7,33.91,0.7104923076923076
2023-11-25,7,22,2519.0,755.7,52.25,0.7
2023-11-26,42,72,6859.0,2057.7000000000003,154.35999999999999,0.7
2023-11-27,21,21,2070.0,621.0,44.92,0.7
2023-11-28,13,13,1220.0,366.0,32.8,0.7
2023-11-29,14,14,1301.0,390.3,32.05,0.7
2023-11-30,12,13,1335.0,400.5,27.939999999999998,0.6999999999999998
2023-12-01,11,12,1138.0,341.40000000000003,28.04,0.7
2023-12-02,20,25,2244.0,673.2,47.91,0.7
2023-12-03,24,31,2720.0,816.0,68.64,0.6999999999999998
2023-12-04,19,20,1965.0,589.5,46.91,0.7
2023-12-05,19,22,2113.0,618.9,41.2,0.707178947368421
2023-12-06,6,7,695.0,193.5,16.04,0.7227333333333332
2023-12-07,18,18,1697.0,494.1,37.64,0.7075777777777777
2023-12-08,12,13,1256.0,376.8,25.56,0.6999999999999998
2023-12-09,17,24,2399.0,719.7,49.71,0.7
2023-12-10,18,20,1896.0,568.8000000000001,49.16,0.7
2023-12-11,14,16,1448.0,434.40000000000003,34.019999999999996,0.7
2023-12-12,16,18,1769.0,530.7,49.9,0.7
2023-12-13,9,13,1272.0,381.6,26.3,0.7
2023-12-14,16,18,1792.0,537.6,44.15,0.7
2023-12-15,16,16,1671.0,501.3,34.94,0.7
2023-12-16,10,10,1008.0,302.4,23.45,0.7
2023-12-17,16,20,1894.0,568.2,52.19,0.7
2023-12-18,5,6,576.0,172.8,15.46,0.7
2023-12-19,3,7,643.0,192.9,13.51,0.6999999999999998
2023-12-20,5,6,617.0,170.10000000000002,14.92,0.72728
2023-12-21,14,18,1883.0,564.9,35.91,0.7
2023-12-22,4,6,597.0,179.10000000000002,18.37,0.7
2023-12-23,17,18,1757.0,527.1,39.48,0.7
2023-12-24,12,17,1645.0,493.5,31.65,0.6999999999999998
2023-12-26,48,69,6521.0,1956.3,139.42,0.6999999999999998
2023-12-27,23,27,2769.0,830.7,65.8,0.7
2023-12-28,10,10,968.0,290.40000000000003,22.9,0.7
2023-12-29,12,16,1550.0,465.0,34.86,0.6999999999999998
2023-12-30,19,22,2194.0,658.2,52.49,0.7
2023-12-31,9,11,1161.0,348.3,25.6,0.7
2024-01-02,20,22,2294.0,688.2,43.14,0.7
2024-01-03,13,14,1392.0,417.6,24.27,0.7
2024-01-04,24,26,2686.0,790.8000000000001,54.589999999999996,0.7056833333333333
2024-01-05,11,12,1191.0,357.3,27.689999999999998,0.7
2024-01-06,17,23,2354.0,601.2,48.71,0.7160470588235294
2024-01-07,17,20,1884.0,565.2,39.11,0.7
2024-01-08,15,19,1546.0,463.8,31.61,0.7
2024-01-09,31,47,4284.0,1255.2,92.91,0.7088
2024-01-10,19,19,1644.0,493.2,38.33,0.7
2024-01-11,9,11,1121.0,336.3,26.52,0.7
2024-01-12,25,29,2888.0,851.4000000000001,58.71,0.705456
2024-01-13,30,36,3566.0,1069.8,75.26,0.7
2024-01-14,41,45,4348.0,1304.4,103.41,0.7
2024-01-15,42,48,4849.0,1454.7,115.42,0.7
2024-01-16,11,13,1317.0,395.1,23.08,0.7
2024-01-17,6,12,1118.0,335.4,20.73,0.6999999999999998
2024-01-18,15,16,1594.0,463.20000000000005,34.08,0.7090933333333334
2024-01-19,8,9,902.0,270.6,19.32,0.7
2024-01-20,23,28,2700.0,810.0,57.25,0.7
2024-01-21,33,41,4139.0,1241.7,98.62,0.7
2024-01-22,25,30,2753.0,825.9,60.05,0.7
2024-01-23,18,20,1834.0,550.2,39.91,0.7
2024-01-24,17,18,1822.0,531.6,37.34,0.7080235294117646
2024-01-25,5,7,807.0,212.10000000000002,14.2,0.72728
2024-01-26,25,26,2521.0,756.3000000000001,54.16,0.7
2024-01-27,36,42,3675.0,1102.5,87.94,0.7
2024-01-28,40,45,4141.0,1242.3,91.14,0.7
2024-01-29,21,29,2565.0,739.5,55.9,0.7064952380952381
2024-01-30,19,21,1911.0,573.3000000000001,43.03,0.7
2024-01-31,12,13,1250.0,375.0,23.18,0.6999999999999998
2024-02-01,10,11,1132.0,324.6,23.98,0.71364
2024-02-02,14,15,1468.0,440.40000000000003,32.42,0.7
2024-02-03,23,29,2694.0,808.2,53.28,0.7
2024-02-04,45,61,5681.0,1704.3,125.56,0.7
2024-02-05,35,39,3962.0,1188.6000000000001,84.09,0.7
2024-02-06,17,19,1969.0,590.7,44.14,0.7
2024-02-07,11,14,1457.0,437.1,31.29,0.7
2024-02-09,25,32,3213.0,948.9,65.16,0.705456
2024-02-10,22,24,2331.0,684.3000000000001,49.0,0.7061999999999999
2024-02-11,21,25,2517.0,755.1,51.019999999999996,0.7
2024-02-12,15,21,2002.0,570.6,44.83,0.7090933333333334
2024-02-13,6,7,663.0,198.9,10.29,0.6999999999999998
2024-02-14,15,16,1612.0,483.6,34.57,0.7
2024-02-15,8,10,1110.0,333.0,21.54,0.7
2024-02-16,20,26,2508.0,752.4,56.37,0.7
2024-02-17,16,16,1634.0,490.20000000000005,35.46,0.7
2024-02-18,24,28,2565.0,754.5,66.07,0.7056833333333333
2024-02-19,25,30,3005.0,901.5,68.51,0.7
2024-02-20,7,10,1040.0,312.0,19.64,0.7
2024-02-21,5,7,660.0,198.0,14.74,0.7
2024-02-23,16,20,1899.0,569.7,39.75,0.7
2024-02-24,24,27,2836.0,850.8000000000001,54.65,0.6999999999999998
2024-02-25,16,18,1792.0,537.6,36.36,0.7
2024-02-26,14,16,1581.0,459.3,41.589999999999996,0.7097428571428571
2024-02-27,9,11,1151.0,345.3,22.4,0.7
2024-02-28,8,10,940.0,282.0,16.84,0.7
2024-02-29,16,19,1897.0,569.1,43.8,0.7
2024-03-01,8,10,996.0,298.8,21.75,0.7
2024-03-03,13,13,1328.0,398.40000000000003,28.0,0.7
2024-03-04,14,16,1596.0,478.8,34.44,0.7
2024-03-05,7,12,1373.0,411.90000000000003,27.31,0.7
2024-03-06,3,6,654.0,196.20000000000002,13.74,0.6999999999999998
2024-03-07,3,5,535.0,160.5,9.33,0.6999999999999998
2024-03-08,14,17,1760.0,528.0,37.36,0.7
2024-03-09,13,16,1488.0,446.4,37.519999999999996,0.7
2024-03-10,14,16,1638.0,491.40000000000003,36.68,0.7
2024-03-11,8,9,776.0,232.8,19.9,0.7
2024-03-12,17,21,2178.0,653.4000000000001,45.12,0.7
2024-03-13,8,9,961.0,288.3,19.37,0.7
2024-03-14,7,9,923.0,276.9,23.82,0.7
2024-03-15,12,16,1606.2,481.86,33.18,0.6999999999999998
2024-03-16,29,30,2887.0,866.1,63.43,0.7
2024-03-17,30,31,3446.0,1033.8,78.1,0.7
2024-03-18,15,17,1667.0,500.1,39.03,0.7
2024-03-19,10,10,964.0,289.20000000000005,27.4,0.7
2024-03-20,10,12,1162.0,348.6,28.2,0.7
2024-03-21,8,9,914.0,259.2,19.38,0.71705
2024-03-22,8,10,1047.0,314.1,20.56,0.7
2024-03-23,21,23,2156.0,631.8000000000001,50.92,0.7064952380952381
2024-03-24,30,34,3176.0,952.8000000000001,81.46,0.7
2024-03-25,16,22,2246.0,673.8000000000001,44.44,0.7
2024-03-26,13,15,1475.0,442.5,29.1,0.7
2024-03-27,15,17,1701.0,510.3,45.75,0.7
2024-03-28,34,39,3773.0,1116.9,89.21,0.7040117647058823
2024-03-29,47,52,5230.0,1569.0,109.88,0.7
2024-03-30,16,21,2232.0,654.6,43.4,0.708525
2024-03-31,30,33,3439.0,1031.7,69.21,0.7
2024-04-01,13,15,1457.0,437.1,31.09,0.7
2024-04-02,8,11,1044.0,298.20000000000005,24.79,0.71705
2024-04-03,14,21,2228.0,668.4,47.269999999999996,0.7
2024-04-04,6,8,838.0,251.40000000000003,15.7,0.6999999999999998
2024-04-05,13,19,2008.0,602.4,39.83,0.7
2024-04-06,8,10,979.0,293.70000000000005,26.72,0.7
2024-04-07,19,21,2203.0,660.9,53.18,0.7
2024-04-08,33,33,3354.0,1006.2,77.8,0.7
2024-04-09,55,63,6290.2,1872.0600000000002,138.11,0.7024799999999999
2024-04-10,8,9,972.0,291.6,22.4,0.7
2024-04-11,6,8,784.0,235.20000000000002,17.81,0.6999999999999998
2024-04-12,17,29,2674.0,802.2,58.95,0.7
2024-04-13,18,25,2443.0,717.9,56.019999999999996,0.7075777777777777
2024-04-14,15,17,1663.0,498.90000000000003,31.09,0.7
2024-04-15,18,23,2260.0,678.0,47.57,0.7
2024-04-16,7,7,710.0,213.0,16.439999999999998,0.7
2024-04-17,13,18,1697.0,509.1,38.660000000000004,0.7
2024-04-18,11,14,1349.0,389.7,26.23,0.7123999999999999
2024-04-19,2,5,565.0,169.5,12.58,0.7
2024-04-20,8,13,1237.0,371.1,20.59,0.7
2024-04-21,15,15,1577.0,473.1,34.3,0.7
2024-04-22,22,22,2019.0,605.7,49.879999999999995,0.7
2024-04-23,11,11,1101.0,330.3,22.84,0.7
2024-04-24,25,29,3016.0,874.8000000000001,57.879999999999995,0.710912
2024-04-25,8,12,1310.0,393.0,33.36,0.7
2024-04-26,4,6,654.0,196.20000000000002,13.42,0.7
2024-04-27,19,22,2334.0,700.2,60.629999999999995,0.7
2024-04-28,26,29,2837.0,851.1,61.98,0.7
2024-04-29,10,11,1121.0,336.3,26.9,0.7
2024-04-30,24,25,2563.0,753.9000000000001,59.39,0.7056833333333333
2024-05-01,10,10,977.0,293.1,21.31,0.7
2024-05-02,11,22,2273.0,651.9,47.17,0.7123999999999999
2024-05-03,4,7,763.0,228.90000000000003,15.379999999999999,0.7
2024-05-04,25,29,2827.0,848.1,60.64,0.7
2024-05-05,41,51,4878.0,1433.4,112.87,0.7066536585365853
2024-05-06,11,13,1259.0,377.7,30.89,0.7
2024-05-07,10,11,1036.0,310.8,23.18,0.7
2024-05-08,7,8,892.0,267.6,18.32,0.7
